timestamp,stage,config_name,shake_name,candidate_name,instance,n,k,seed,time_limit,config_json,feasible,max_route,total_distance,balance,runtime,iterations,outer_iterations
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,999.586390967,19576.505932594755,32.412296565559814,10.000256900093518,1234,214
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,999.586390967,19625.4726112217,30.07300785592804,10.000166299985722,1189,227
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,997.904381345,58522.68230143927,982.81799555344,10.00221770000644,107,3
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,997.904381345,60665.91945302903,985.98891855013,10.004132400033996,98,3
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,997.904381345,60152.551549397824,993.8178958158501,10.001291499938816,90,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1134.25886009755,22438.772292581318,35.65753093935018,10.000304299988784,637,151
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1169.9880174951,22894.10931203208,58.054896161400166,10.000157999922521,779,143
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1155.12296665385,22685.24320422923,46.97299160574971,10.000251700053923,578,111
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1352.4817095666,26492.08563152403,50.62709757334028,10.00017829996068,827,166
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1399.1474455837895,27301.46422529377,72.02072585470955,10.000107200001366,616,106
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1356.4568761283,26588.10224216402,54.83315507892007,10.000077500008047,937,191
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1726.9760167148297,8577.41945243181,24.57221256362982,10.000065900036134,1428,264
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1709.7965540723,8465.69661431541,25.155147875899956,10.000056000077166,1430,265
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1785.52529846359,8874.27966974141,29.2456474338901,10.000033600023016,1250,215
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,879.2698585247998,17125.3865629452,47.11219007850002,10.000235499930568,487,36
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,918.6239237365,17461.686862485778,112.25139506130006,10.000244099996053,606,49
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,898.1232423556,17576.89608249625,54.98433676499985,10.000275500002317,505,42
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,66962.38969341238,90.44225997077001,10.002546799951233,140,1
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,67457.41688240302,85.30626810490003,10.002113500027917,136,1
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,67491.9585325974,97.87080648203994,10.001524599967524,122,1
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,904.5283329245001,4422.02555410918,28.807762023920077,10.000100400066003,1485,282
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,947.6402467667099,4723.45793175088,5.365102245109824,10.000067099928856,1495,270
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,849.4688053773999,4123.27630262009,33.259974906949765,10.000071899965405,1543,294
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,601.69248341409,11720.027015287138,35.59363928578,10.000138100003824,497,22
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,609.37855741042,11900.825805900151,30.12501726414007,10.00009530002717,488,20
20260606_233522,shake_tuning,shake5,shake5,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,601.7807421361699,11867.749534425318,35.656092495319854,10.000128399929963,569,21
