dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
mtsplib_minmax,eil51_k7,data\mtsplib_minmax\eil51_k7.txt,50,7,nearest_insertion,169,980,53,0.000511,1,yes,no,yes,main,112,760,14,57,50.89,220,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\eil51_k7.txt
mtsplib_minmax,eil76_k2,data\mtsplib_minmax\eil76_k2.txt,75,2,nearest_insertion,360,715,5,0.001346,1,yes,no,yes,main,279,556,2,81,29.03,159,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\eil76_k2.txt
mtsplib_minmax,eil76_k3,data\mtsplib_minmax\eil76_k3.txt,75,3,nearest_insertion,290,834,22,0.002104,1,yes,no,yes,main,195,581,3,95,48.72,253,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\eil76_k3.txt
mtsplib_minmax,eil76_k5,data\mtsplib_minmax\eil76_k5.txt,75,5,nearest_insertion,233,1046,40,0.001374,1,yes,no,yes,main,149,742,1,84,56.38,304,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\eil76_k5.txt
mtsplib_minmax,eil76_k7,data\mtsplib_minmax\eil76_k7.txt,75,7,nearest_insertion,211,1163,66,0.001360,1,yes,no,yes,main,140,958,9,71,50.71,205,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\eil76_k7.txt
mtsplib_minmax,rat99_k2,data\mtsplib_minmax\rat99_k2.txt,98,2,nearest_insertion,1040,2072,8,0.003152,1,yes,no,yes,main,726,1451,1,314,43.25,621,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\rat99_k2.txt
mtsplib_minmax,rat99_k3,data\mtsplib_minmax\rat99_k3.txt,98,3,nearest_insertion,847,2448,48,0.001826,1,yes,no,yes,main,585,1744,10,262,44.79,704,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\rat99_k3.txt
mtsplib_minmax,rat99_k5,data\mtsplib_minmax\rat99_k5.txt,98,5,nearest_insertion,648,3194,17,0.001992,1,yes,no,yes,main,468,2331,4,180,38.46,863,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\rat99_k5.txt
mtsplib_minmax,rat99_k7,data\mtsplib_minmax\rat99_k7.txt,98,7,nearest_insertion,599,3878,69,0.002021,1,yes,no,yes,main,444,3068,23,155,34.91,810,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\rat99_k7.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,nearest_insertion,3723,9487,946,0.000604,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\berlin52_k3.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,nearest_insertion,1530,13183,328,0.002789,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\ch130_k10.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,nearest_insertion,291,522,60,0.000606,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\eil51_k2.txt
tsplib_converted,kroA100_k5,data\tsplib_converted\kroA100_k5.txt,99,5,nearest_insertion,7588,36066,583,0.001512,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\kroA100_k5.txt
tsplib_converted,kroA200_k20,data\tsplib_converted\kroA200_k20.txt,199,20,nearest_insertion,6029,93053,2218,0.009410,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\kroA200_k20.txt
tsplib_converted,lin318_k20,data\tsplib_converted\lin318_k20.txt,317,20,nearest_insertion,8179,127408,2382,0.004094,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\lin318_k20.txt
tsplib_converted,pcb442_k50,data\tsplib_converted\pcb442_k50.txt,441,50,nearest_insertion,5916,231639,1908,0.025154,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\pcb442_k50.txt
tsplib_converted,u724_k100,data\tsplib_converted\u724_k100.txt,723,100,nearest_insertion,4012,325363,1068,0.056703,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\u724_k100.txt
